episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
160,16.48491538866451,230.30169222670963,20,3,-1,baseline_fixed_order,checkout,medium
161,-13.733488198563135,234.6697639712627,20,0,-1,baseline_fixed_order,notifications,small
162,-3.100389501533459,222.0077900306692,20,1,-1,baseline_fixed_order,payments,medium
163,-33.602428000093965,232.0485600018793,20,0,-1,baseline_fixed_order,notifications,medium
164,-13.038594903808848,220.77189807617694,20,0,-1,baseline_fixed_order,notifications,large
165,-13.724380165924826,234.4876033184965,20,0,-1,baseline_fixed_order,notifications,large
166,-13.230800118488498,224.6160023697699,20,0,-1,baseline_fixed_order,notifications,medium
167,-33.49038518349876,229.80770366997515,20,0,-1,baseline_fixed_order,notifications,small
168,16.585117617324954,228.2976476535009,20,3,-1,baseline_fixed_order,checkout,medium
169,-13.753096152718534,235.06192305437068,20,0,-1,baseline_fixed_order,auth,large
170,16.780081196340582,224.39837607318836,20,3,-1,baseline_fixed_order,auth,small
171,-33.149699521563704,222.9939904312741,20,0,-1,baseline_fixed_order,payments,large
172,-13.875448123610433,237.50896247220865,20,0,-1,baseline_fixed_order,checkout,medium
173,-13.349012497483166,226.98024994966332,20,0,-1,baseline_fixed_order,auth,large
174,6.611453772781495,227.77092454437002,20,2,-1,baseline_fixed_order,auth,large
175,-33.178685148596905,223.57370297193813,20,0,-1,baseline_fixed_order,auth,large
176,-3.563178080649548,231.26356161299086,20,1,-1,baseline_fixed_order,checkout,small
177,-13.672716461126038,233.45432922252067,20,0,-1,baseline_fixed_order,payments,large
178,-13.86152108904591,237.23042178091816,20,0,-1,baseline_fixed_order,payments,small
179,-13.211403975902778,224.22807951805547,20,0,-1,baseline_fixed_order,notifications,medium
180,-13.548403746821304,230.96807493642604,20,0,-1,baseline_fixed_order,payments,large
181,-13.12451749912155,222.490349982431,20,0,-1,baseline_fixed_order,auth,large
182,-13.467128703384178,229.3425740676835,20,0,-1,baseline_fixed_order,profile,large
183,-13.335359338149317,226.70718676298628,20,0,-1,baseline_fixed_order,profile,large
184,-12.848483075693833,216.96966151387667,20,0,-1,baseline_fixed_order,auth,small
185,6.326494828936041,233.47010342127916,20,2,-1,baseline_fixed_order,payments,large
186,6.684253917361891,226.31492165276217,20,2,-1,baseline_fixed_order,notifications,small
187,-13.850831182932307,237.01662365864618,20,0,-1,baseline_fixed_order,auth,medium
188,-13.040138967767929,220.80277935535855,20,0,-1,baseline_fixed_order,search,small
189,-3.739485889491896,234.78971778983794,20,1,-1,baseline_fixed_order,search,small
190,-13.406496441114328,228.12992882228662,20,0,-1,baseline_fixed_order,checkout,medium
191,-13.408938176458648,228.1787635291729,20,0,-1,baseline_fixed_order,profile,small
192,-33.88322659282598,237.66453185651952,20,0,-1,baseline_fixed_order,notifications,large
193,-13.45547849052741,229.10956981054818,20,0,-1,baseline_fixed_order,payments,medium
194,-3.6796638130905164,233.59327626181027,20,1,-1,baseline_fixed_order,profile,small
195,-14.167164926410729,243.34329852821455,20,0,-1,baseline_fixed_order,checkout,small
196,-12.683319445127756,213.66638890255513,20,0,-1,baseline_fixed_order,checkout,small
197,15.620364152612346,247.592716947753,20,3,-1,baseline_fixed_order,payments,small
198,-34.00042199697249,240.0084399394499,20,0,-1,baseline_fixed_order,auth,medium
199,-33.373464952895674,227.46929905791333,20,0,-1,baseline_fixed_order,notifications,large
200,-33.59052732556508,231.81054651130162,20,0,-1,baseline_fixed_order,profile,large
201,-13.644182263495665,232.88364526991325,20,0,-1,baseline_fixed_order,checkout,large
202,-13.049698970378891,220.99397940757777,20,0,-1,baseline_fixed_order,payments,large
