episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
211,-11.697395368559015,193.94790737118024,20,0,3,high_risk_first,profile,medium
212,-11.582681080763086,191.6536216152617,20,0,3,high_risk_first,auth,medium
213,-4.44964832350913,248.9929664701826,20,1,3,high_risk_first,payments,small
214,-14.255809660390883,245.1161932078176,20,0,3,high_risk_first,notifications,medium
215,10.866461204074085,142.67077591851833,20,2,3,high_risk_first,auth,large
216,-2.3122145574964277,206.2442911499285,20,1,3,high_risk_first,auth,medium
217,-9.59230768921098,151.8461537842196,20,0,3,high_risk_first,search,large
218,-10.718226697464118,174.3645339492824,20,0,3,high_risk_first,profile,large
219,19.78547078419463,164.2905843161075,20,3,3,high_risk_first,checkout,large
220,-14.536368069153209,250.7273613830642,20,0,3,high_risk_first,auth,small
221,-14.132195076933508,242.64390153867015,20,0,3,high_risk_first,checkout,small
222,33.29888215793987,294.0223568412027,20,5,3,high_risk_first,payments,medium
223,-13.030315662166307,220.60631324332607,20,0,3,high_risk_first,payments,small
224,-11.643857522126828,192.87715044253653,20,0,3,high_risk_first,payments,large
225,-9.934424679692926,158.68849359385854,20,0,3,high_risk_first,search,medium
226,5.300621216238057,253.98757567523887,20,2,3,high_risk_first,payments,large
227,-11.119268919345396,182.38537838690792,20,0,3,high_risk_first,search,large
228,-12.905024397348186,218.10048794696368,20,0,3,high_risk_first,profile,large
229,14.050800435622286,278.9839912875544,20,3,3,high_risk_first,notifications,medium
230,-10.444313248468456,168.88626496936905,20,0,3,high_risk_first,checkout,large
231,3.7801015489390224,284.3979690212196,20,2,3,high_risk_first,notifications,medium
232,-14.18243481070486,243.64869621409719,20,0,3,high_risk_first,payments,large
233,-11.282504996914412,185.65009993828824,20,0,3,high_risk_first,search,large
234,20.410304836484205,151.79390327031604,20,3,3,high_risk_first,search,medium
235,-10.893743226747121,177.87486453494236,20,0,3,high_risk_first,auth,medium
236,8.439732977693211,191.2053404461357,20,2,3,high_risk_first,checkout,medium
